0	-113.21	-0.01	28.75	0.01
1	-67.34	-0.01	10.32	0.00
2	-84.34	-0.01	24.45	0.01
3	-94.94	-0.01	24.28	0.00
4	-91.82	-0.01	21.01	0.01
5	-86.07	-0.01	23.28	0.01
6	-87.36	-0.01	18.69	0.00
7	-61.99	-0.01	16.07	0.00
8	-96.88	-0.01	25.13	0.01
9	-70.67	-0.00	18.25	0.01
10	-71.92	-0.01	21.06	0.01
11	-120.39	-0.01	28.24	0.01
12	-56.99	-0.01	12.90	0.00
13	-77.78	-0.01	23.36	0.00
14	-75.15	-0.01	23.21	0.01
15	-75.55	-0.01	17.55	0.00
16	-59.98	-0.01	9.04	0.00
17	-81.33	-0.01	23.17	0.01
18	-87.38	-0.01	24.32	0.00
19	-88.23	-0.01	17.99	0.01
20	-104.98	-0.01	32.74	0.01
21	-71.44	-0.00	22.69	0.00
22	-61.41	-0.01	16.37	0.01
23	-90.17	-0.01	20.01	0.00
24	-71.43	-0.01	14.95	0.01
25	-90.19	-0.01	23.41	0.01
26	-66.07	-0.01	16.79	0.01
27	-68.60	-0.01	16.17	0.01
28	-64.54	-0.01	15.62	0.01
29	-56.27	-0.01	14.88	0.01
30	-68.93	-0.01	15.22	0.01
31	-48.42	-0.01	8.19	0.00
